,,,0,0,0
ABC,PENCIL SHARPENER,MISCELLANEOUS,38.22,55.53,155
ABC,PLASMA TV,CLOTHING,227.19,291.66,168
ABC,POTATO CHIPS,LAPTOP COMPUTERS,53.82,77.68,176
ABC,RC CAR,MISCELLANEOUS,44.3,61.66,178
ABC,RC HELICOPTER,ACCESSORIES,60.87,66.25,196
ABC,RC PLANE,MISCELLANEOUS,125.16,139.84,70
ABC,RULLER,SMART WATCH,163.25,196.83,173
ABC,SAW,MONITORS & TV,238.78,319.88,30
ABC,SCREWDRIVER,SMART WATCH,241.81,280.97,100
ABC,SCREWS,MONITORS & TV,173.87,208.66,105
ABC,SHAMPOO,CLOTHING,268.93,328.06,58
ABC,SHAVING CREAM,CLOTHING,195.14,206.01,59
ABC,SHIN GUARDS,SMART WATCH,216.14,273.27,193
ABC,SHOES,MONITORS & TV,285.78,319.63,84
ABC,SHORTS,SMART WATCH,219.79,324.34,168
ABC,SHOVEL,MONITORS & TV,299.22,426.77,96
ABC,SMARTPHONE,MONITORS & TV,35.69,38.17,175
ABC,SOAP BAR,LAPTOP COMPUTERS,78.38,108.39,15
ABC,SOCKS,CLOTHING,101.52,152.21,100
ABC,SPOON,SPORTS,66.79,95.33,62
ABC,SPORTS DRINK,ACCESSORIES,182.08,199.08,25
ABC,SPRAY PAINT,SPORTS,60,84.73,30
ABC,STAPLER,CLOTHING,43.1,48.46,73
ABC,STOPWATCH,SMART WATCH,279.3,410.94,56
ABC,STRAWS,ACCESSORIES,253.48,305.06,66
ABC,STUFFED BEAR,MONITORS & TV,91.45,99.56,63
ABC,SUNGLASSES,MONITORS & TV,12.78,17.81,52
ABC,TENNIS BALL,MONITORS & TV,34.33,40.98,120
ABC,THERMOS,SMART WATCH,66.98,88.45,161
ABC,TIE,ACCESSORIES,184.58,232.63,99
ABC,TIRE,LAPTOP COMPUTERS,14.29,16.91,64
ABC,TOOTHBRUSH,LAPTOP COMPUTERS,296.35,441.62,104
ABC,TOOTHPASTE,SPORTS,112.01,132.74,170
ABC,TOWEL,MONITORS & TV,205.1,241.42,186
ABC,TV REMOTE,MISCELLANEOUS,220.26,283.16,185
ABC,VIDEO GAME,MONITORS & TV,37.85,48.67,94
ABC,WALLET,CELL PHONE,15.04,21.59,16
ABC,WATCH,LAPTOP COMPUTERS,294.12,372.55,94
ABC,WATER BOTTLE,ACCESSORIES,148.97,172.71,188
ABC,WINTER COAT,LAPTOP COMPUTERS,223.19,258.51,118
ABC,WRENCH,MISCELLANEOUS,202.2,235.74,174
ADIDAS,ALBUM,MONITORS & TV,117.39,155.49,164
ADIDAS,BASEBALL CAP,LAPTOP COMPUTERS,237.65,273.04,139
ADIDAS,BASKETBALL,MISCELLANEOUS,181.26,210.54,63
ADIDAS,BATTERIES,CELL PHONE,283.98,400.86,149
ADIDAS,BATTERY PACK,CLOTHING,230.84,260.1,194
ADIDAS,BLANKET,MISCELLANEOUS,125.52,140.78,175
ADIDAS,BLENDER,MONITORS & TV,208.53,289.68,36
ADIDAS,BOOK,ACCESSORIES,103.51,148.09,136
ADIDAS,BOTTLE OF SODA,LAPTOP COMPUTERS,18.68,22.68,91
ADIDAS,BOWTIE,MISCELLANEOUS,240.01,294.98,151
ADIDAS,BOX,SMART WATCH,261.36,287.03,31
ADIDAS,BRACELET,SMART WATCH,140.64,176.28,75
ADIDAS,CALCULATOR,SPORTS,252.47,361.03,73
ADIDAS,CAR,LAPTOP COMPUTERS,43.97,47.27,98
ADIDAS,CLEATS,MONITORS & TV,128.43,177.33,177
ADIDAS,COFFEE MUG,SMART WATCH,224.94,252.33,16
ADIDAS,COLOGNE,MISCELLANEOUS,186.51,256.78,74
ADIDAS,COLORED PENCILS,CLOTHING,183.39,258.73,55
ADIDAS,COMB,CLOTHING,183.17,192.82,77
ADIDAS,CRACKERS,SPORTS,286.28,372.82,6
ADIDAS,DESK,SPORTS,245.28,259.84,41
ADIDAS,DRILL,CELL PHONE,97.55,128.8,150
ADIDAS,DRILL BITS,CELL PHONE,53.92,78.54,185
ADIDAS,ERASER,MONITORS & TV,35.4,41.31,112
ADIDAS,FISHING ROD,LAPTOP COMPUTERS,114.16,123.88,141
ADIDAS,FLATSCREEN TV,LAPTOP COMPUTERS,72.81,86.95,142
ADIDAS,FLIP PHONE,LAPTOP COMPUTERS,63.55,82.2,111
ADIDAS,FLUTE,CELL PHONE,43.48,64.82,127
ADIDAS,FOOTBALL,CLOTHING,108.82,155.3,100
ADIDAS,FORK,MONITORS & TV,40.01,43.24,186
ADIDAS,FRISBEE,MISCELLANEOUS,144.09,199.25,63
ADIDAS,GLASSES,SPORTS,252.06,273.58,54
ADIDAS,GLOVES,ACCESSORIES,41.9,57.8,39
ADIDAS,GPS,MISCELLANEOUS,63.36,76.37,165
ADIDAS,HAIR GEL,SMART WATCH,57.63,68.44,99
ADIDAS,HAMMER,MONITORS & TV,104.71,111.97,89
ADIDAS,HAND TOWEL,CELL PHONE,163.68,217.84,24
ADIDAS,HANDBAG,MISCELLANEOUS,140.39,148.03,94
ADIDAS,HEADPHONES,MISCELLANEOUS,70.12,81.38,151
ADIDAS,JACKET,CELL PHONE,185.07,222.43,93
ADIDAS,JEANS,CELL PHONE,224.25,238.32,129
ADIDAS,JERSEY,SMART WATCH,39.72,43.09,152
ADIDAS,KEYBOARD,MONITORS & TV,248.61,362.65,158
ADIDAS,KNIFE,SMART WATCH,219.25,326.75,176
ADIDAS,LANYARD,CELL PHONE,281.77,360.26,69
ADIDAS,LAPTOP,CELL PHONE,255.36,290.62,146
ADIDAS,LAWN MOWER,SPORTS,279.86,317.1,190
ADIDAS,LEMONADE,MONITORS & TV,291.2,395.52,5
ADIDAS,LOTION,SMART WATCH,86.56,106.36,164
ADIDAS,MECHANICAL PENCIL,CLOTHING,55.48,75.15,87
ADIDAS,MODEL CAR,MONITORS & TV,149.09,186.35,168
ADIDAS,MUSIC SOFTWARE,MISCELLANEOUS,260.3,299.26,29
ADIDAS,NAILS,CLOTHING,198.49,253.47,38
ADIDAS,NECKLACE,CLOTHING,278.77,401.81,156
ADIDAS,PAN,CLOTHING,288.95,414.12,184
ADIDAS,PAPER,SPORTS,110.88,132.96,167
ADIDAS,PEN,SMART WATCH,79.91,113.92,125
ADIDAS,PENCIL,MISCELLANEOUS,149.36,161.8,13
ADIDAS,PENCIL SHARPENER,MISCELLANEOUS,134.5,153.83,167
ADIDAS,PLASMA TV,CLOTHING,32.96,41.13,51
ADIDAS,POTATO CHIPS,LAPTOP COMPUTERS,29.89,41.3,92
ADIDAS,RC CAR,MISCELLANEOUS,287.28,312.12,139
ADIDAS,RC HELICOPTER,ACCESSORIES,118.78,130.35,10
ADIDAS,RC PLANE,MISCELLANEOUS,239.83,271.93,173
ADIDAS,RULLER,SMART WATCH,50.36,54.32,139
ADIDAS,SAW,MONITORS & TV,195.86,235.89,198
ADIDAS,SCREWDRIVER,SMART WATCH,139.51,186.66,85
ADIDAS,SCREWS,MONITORS & TV,254.67,361.92,160
ADIDAS,SHAMPOO,CLOTHING,118.82,156.86,118
ADIDAS,SHAVING CREAM,CLOTHING,147.62,201.33,178
ADIDAS,SHIN GUARDS,SMART WATCH,144.21,172.52,10
ADIDAS,SHOES,MONITORS & TV,262.92,311.69,192
ADIDAS,SHORTS,SMART WATCH,264,354.71,77
ADIDAS,SHOVEL,MONITORS & TV,286.94,414.9,99
ADIDAS,SMARTPHONE,MONITORS & TV,192.76,277.5,145
ADIDAS,SOAP BAR,LAPTOP COMPUTERS,182.12,249.31,146
ADIDAS,SOCKS,CLOTHING,276.43,402.37,22
ADIDAS,SPOON,SPORTS,168.62,182.3,76
ADIDAS,SPORTS DRINK,ACCESSORIES,29.32,32.06,53
ADIDAS,SPRAY PAINT,SPORTS,10.36,11.66,16
ADIDAS,STAPLER,CLOTHING,119.06,156.32,122
ADIDAS,STOPWATCH,SMART WATCH,207.93,288.8,107
ADIDAS,STRAWS,ACCESSORIES,32.44,34.22,133
ADIDAS,STUFFED BEAR,MONITORS & TV,212.93,232.52,179
ADIDAS,SUNGLASSES,MONITORS & TV,147.93,165.73,178
ADIDAS,TENNIS BALL,MONITORS & TV,85.59,93.43,95
ADIDAS,THERMOS,SMART WATCH,194.7,248.54,7
ADIDAS,TIE,ACCESSORIES,60.17,63.43,136
ADIDAS,TIRE,LAPTOP COMPUTERS,280.66,356.1,198
ADIDAS,TOOTHBRUSH,LAPTOP COMPUTERS,102.78,136.22,193
ADIDAS,TOOTHPASTE,SPORTS,110.91,159.59,168
ADIDAS,TOWEL,MONITORS & TV,215.55,276.56,83
ADIDAS,TV REMOTE,MISCELLANEOUS,217.48,253.64,105
ADIDAS,VIDEO GAME,MONITORS & TV,296.18,381.47,73
ADIDAS,WALLET,CELL PHONE,219.22,314.15,75
ADIDAS,WATCH,LAPTOP COMPUTERS,239.66,286.05,95
ADIDAS,WATER BOTTLE,ACCESSORIES,150.77,166.4,6
ADIDAS,WINTER COAT,LAPTOP COMPUTERS,15.62,16.84,91
ADIDAS,WRENCH,MISCELLANEOUS,23.91,28.62,18
ALFA ROMEO,ALBUM,MONITORS & TV,191.95,234.05,136
ALFA ROMEO,BASEBALL CAP,LAPTOP COMPUTERS,257.72,349.15,123
ALFA ROMEO,BASKETBALL,MISCELLANEOUS,221.26,315.28,104
ALFA ROMEO,BATTERIES,CELL PHONE,264.04,372.32,17
ALFA ROMEO,BATTERY PACK,CLOTHING,229.45,290.06,112
ALFA ROMEO,BLANKET,MISCELLANEOUS,208.71,284.84,124
ALFA ROMEO,BLENDER,MONITORS & TV,131.35,188.46,23
ALFA ROMEO,BOOK,ACCESSORIES,272.55,302.58,47
ALFA ROMEO,BOTTLE OF SODA,LAPTOP COMPUTERS,216.27,228.58,26
ALFA ROMEO,BOWTIE,MISCELLANEOUS,14.35,16.55,191
ALFA ROMEO,BOX,SMART WATCH,154.16,204.1,63
ALFA ROMEO,BRACELET,SMART WATCH,50.81,56.55,11
ALFA ROMEO,CALCULATOR,SPORTS,254.86,300.81,100
ALFA ROMEO,CAR,LAPTOP COMPUTERS,30.85,37.34,184
ALFA ROMEO,CLEATS,MONITORS & TV,21.04,24.36,100
ALFA ROMEO,COFFEE MUG,SMART WATCH,181.89,205.05,182
ALFA ROMEO,COLOGNE,MISCELLANEOUS,56.86,74.27,91
ALFA ROMEO,COLORED PENCILS,CLOTHING,212.12,259.9,61
ALFA ROMEO,COMB,CLOTHING,111.67,130.81,35
ALFA ROMEO,CRACKERS,SPORTS,62.83,92.33,5
ALFA ROMEO,DESK,SPORTS,83.53,105.56,130
ALFA ROMEO,DRILL,CELL PHONE,16.38,17.32,169
ALFA ROMEO,DRILL BITS,CELL PHONE,27.11,36.05,93
ALFA ROMEO,ERASER,MONITORS & TV,86.72,124.83,156
ALFA ROMEO,FISHING ROD,LAPTOP COMPUTERS,230.27,327.36,182
ALFA ROMEO,FLATSCREEN TV,LAPTOP COMPUTERS,103.52,120.87,124
ALFA ROMEO,FLIP PHONE,LAPTOP COMPUTERS,295.2,362.89,24
ALFA ROMEO,FLUTE,CELL PHONE,127.45,157.31,38
ALFA ROMEO,FOOTBALL,CLOTHING,247.46,313.87,205
ALFA ROMEO,FORK,MONITORS & TV,83.5,109.51,27
ALFA ROMEO,FRISBEE,MISCELLANEOUS,73.8,85.12,76
ALFA ROMEO,GLASSES,SPORTS,236.47,269.15,137
ALFA ROMEO,GLOVES,ACCESSORIES,199.81,237.33,141
ALFA ROMEO,GPS,MISCELLANEOUS,182.36,260.71,176
ALFA ROMEO,HAIR GEL,SMART WATCH,185.96,208.43,84
ALFA ROMEO,HAMMER,MONITORS & TV,50.3,68.03,139
ALFA ROMEO,HAND TOWEL,CELL PHONE,97.96,139.9,51
ALFA ROMEO,HANDBAG,MISCELLANEOUS,20.16,29.64,101
ALFA ROMEO,HEADPHONES,MISCELLANEOUS,78.12,95.82,147
ALFA ROMEO,JACKET,CELL PHONE,248.26,308.04,31
ALFA ROMEO,JEANS,CELL PHONE,119.2,167.88,64
ALFA ROMEO,JERSEY,SMART WATCH,254.43,347.2,132
ALFA ROMEO,KEYBOARD,MONITORS & TV,187.71,199.74,55
ALFA ROMEO,KNIFE,SMART WATCH,29.02,36.9,151
ALFA ROMEO,LANYARD,CELL PHONE,117.79,155.93,78
ALFA ROMEO,LAPTOP,CELL PHONE,289.05,427.7,115
ALFA ROMEO,LAWN MOWER,SPORTS,187.31,230.29,175
ALFA ROMEO,LEMONADE,MONITORS & TV,248.46,348.78,69
ALFA ROMEO,LOTION,SMART WATCH,165.39,232.6,16
ALFA ROMEO,MECHANICAL PENCIL,CLOTHING,13.84,20.18,121
ALFA ROMEO,MODEL CAR,MONITORS & TV,273.29,352.71,163
ALFA ROMEO,MUSIC SOFTWARE,MISCELLANEOUS,220.77,256.91,84
ALFA ROMEO,NAILS,CLOTHING,69.25,73.1,113
ALFA ROMEO,NECKLACE,CLOTHING,101.15,106.33,51
ALFA ROMEO,PAN,CLOTHING,288.05,364.45,158
ALFA ROMEO,PAPER,SPORTS,130.85,145.01,173
ALFA ROMEO,PEN,SMART WATCH,277.04,318.67,165
ALFA ROMEO,PENCIL,MISCELLANEOUS,239.26,357.46,17
ALFA ROMEO,PENCIL SHARPENER,MISCELLANEOUS,31.46,33.35,11
ALFA ROMEO,PLASMA TV,CLOTHING,70.48,78.92,177
ALFA ROMEO,POTATO CHIPS,LAPTOP COMPUTERS,33.29,35.29,98
ALFA ROMEO,RC CAR,MISCELLANEOUS,221.22,257.98,96
ALFA ROMEO,RC HELICOPTER,ACCESSORIES,83.7,113.45,66
ALFA ROMEO,RC PLANE,MISCELLANEOUS,100.36,136.87,177
ALFA ROMEO,RULLER,SMART WATCH,133.25,183.17,66
ALFA ROMEO,SAW,MONITORS & TV,209.22,256.89,125
ALFA ROMEO,SCREWDRIVER,SMART WATCH,37.48,53.92,48
ALFA ROMEO,SCREWS,MONITORS & TV,280.06,299.99,116
ALFA ROMEO,SHAMPOO,CLOTHING,53.34,77.07,182
ALFA ROMEO,SHAVING CREAM,CLOTHING,214.45,313.81,87
ALFA ROMEO,SHIN GUARDS,SMART WATCH,233.39,349.17,99
ALFA ROMEO,SHOES,MONITORS & TV,23.24,33.76,47
ALFA ROMEO,SHORTS,SMART WATCH,283.05,372.2,115
ALFA ROMEO,SHOVEL,MONITORS & TV,192.25,211.36,81
ALFA ROMEO,SMARTPHONE,MONITORS & TV,13.23,19.13,164
ALFA ROMEO,SOAP BAR,LAPTOP COMPUTERS,113.34,139.19,22
ALFA ROMEO,SOCKS,CLOTHING,82.88,104.11,184
ALFA ROMEO,SPOON,SPORTS,128.74,146.6,94
ALFA ROMEO,SPORTS DRINK,ACCESSORIES,277.76,399.16,118
ALFA ROMEO,SPRAY PAINT,SPORTS,38.22,52.93,124
ALFA ROMEO,STAPLER,CLOTHING,85.86,111.5,177
ALFA ROMEO,STOPWATCH,SMART WATCH,229.13,274.71,164
ALFA ROMEO,STRAWS,ACCESSORIES,266.26,331.13,141
ALFA ROMEO,STUFFED BEAR,MONITORS & TV,164.92,233.58,34
ALFA ROMEO,SUNGLASSES,MONITORS & TV,28.28,38.24,26
ALFA ROMEO,TENNIS BALL,MONITORS & TV,217.41,235.66,44
ALFA ROMEO,THERMOS,SMART WATCH,9.82,12.78,133
ALFA ROMEO,TIE,ACCESSORIES,27.25,31.99,136
ALFA ROMEO,TIRE,LAPTOP COMPUTERS,126.66,169.3,158
ALFA ROMEO,TOOTHBRUSH,LAPTOP COMPUTERS,213.58,310.37,111
ALFA ROMEO,TOOTHPASTE,SPORTS,65.85,92.11,119
ALFA ROMEO,TOWEL,MONITORS & TV,199.04,279.42,29
ALFA ROMEO,TV REMOTE,MISCELLANEOUS,172.11,214.45,170
ALFA ROMEO,VIDEO GAME,MONITORS & TV,267.34,294.81,190
ALFA ROMEO,WALLET,CELL PHONE,59.71,73.67,168
ALFA ROMEO,WATCH,LAPTOP COMPUTERS,237.08,323.21,131
ALFA ROMEO,WATER BOTTLE,ACCESSORIES,178.87,237.21,157
ALFA ROMEO,WINTER COAT,LAPTOP COMPUTERS,199.69,255.91,103
ALFA ROMEO,WRENCH,MISCELLANEOUS,85.68,94.97,11
AMAZON,ALBUM,MONITORS & TV,81.23,115.9,83
AMAZON,BASEBALL CAP,LAPTOP COMPUTERS,35.83,48.59,73
AMAZON,BASKETBALL,MISCELLANEOUS,295.34,326.58,62
AMAZON,BATTERIES,CELL PHONE,71.67,100.73,7
AMAZON,BATTERY PACK,CLOTHING,231.57,332.25,110
AMAZON,BLANKET,MISCELLANEOUS,49.03,59.52,115
AMAZON,BLENDER,MONITORS & TV,179.76,196.25,125
AMAZON,BOOK,ACCESSORIES,222.6,329.08,22
AMAZON,BOTTLE OF SODA,LAPTOP COMPUTERS,141.1,201.98,78
AMAZON,BOWTIE,MISCELLANEOUS,229.63,243.64,47
AMAZON,BOX,SMART WATCH,28.75,30.88,150
AMAZON,BRACELET,SMART WATCH,165.32,211.57,117
AMAZON,CALCULATOR,SPORTS,281.43,338.64,100
AMAZON,CAR,LAPTOP COMPUTERS,97.11,108.41,168
AMAZON,CLEATS,MONITORS & TV,244.03,357.61,100
AMAZON,COFFEE MUG,SMART WATCH,289.39,392.15,170
AMAZON,COLOGNE,MISCELLANEOUS,156.66,234.62,50
AMAZON,COLORED PENCILS,CLOTHING,85.1,93.68,191
AMAZON,COMB,CLOTHING,124.36,177.86,72
AMAZON,CRACKERS,SPORTS,13.92,17.13,102
AMAZON,DESK,SPORTS,105.95,112.44,128
AMAZON,DRILL,CELL PHONE,202.03,298.89,51
AMAZON,DRILL BITS,CELL PHONE,195.6,293.02,19
AMAZON,ERASER,MONITORS & TV,95.54,121.5,178
AMAZON,FISHING ROD,LAPTOP COMPUTERS,49.86,66.66,26
AMAZON,FLATSCREEN TV,LAPTOP COMPUTERS,61.88,84.04,131
AMAZON,FLIP PHONE,LAPTOP COMPUTERS,49.84,68.77,144
AMAZON,FLUTE,CELL PHONE,92.56,102.83,87
AMAZON,FOOTBALL,CLOTHING,125.9,135.33,277
AMAZON,FORK,MONITORS & TV,37.69,44.31,69
AMAZON,FRISBEE,MISCELLANEOUS,255.99,315.77,102
AMAZON,GLASSES,SPORTS,104.24,113.03,84
AMAZON,GLOVES,ACCESSORIES,141.15,169,78
AMAZON,GPS,MISCELLANEOUS,69.07,101.75,183
AMAZON,HAIR GEL,SMART WATCH,50.49,70.28,70
AMAZON,HAMMER,MONITORS & TV,198.71,295.46,187
AMAZON,HAND TOWEL,CELL PHONE,79.17,109.47,185
AMAZON,HANDBAG,MISCELLANEOUS,198.39,221.58,55
AMAZON,HEADPHONES,MISCELLANEOUS,150.35,215.2,144
AMAZON,JACKET,CELL PHONE,195.21,224.82,42
AMAZON,JEANS,CELL PHONE,109.22,142.6,36
AMAZON,JERSEY,SMART WATCH,183.05,210.3,69
AMAZON,KEYBOARD,MONITORS & TV,83.74,104.7,83
AMAZON,KNIFE,SMART WATCH,173.55,200.51,37
AMAZON,LANYARD,CELL PHONE,172.56,217.44,190
AMAZON,LAPTOP,CELL PHONE,189.49,230.98,45
AMAZON,LAWN MOWER,SPORTS,24.25,33.4,130
AMAZON,LEMONADE,MONITORS & TV,171.74,217.06,78
AMAZON,LOTION,SMART WATCH,161.65,194.52,105
AMAZON,MECHANICAL PENCIL,CLOTHING,278.15,294.63,172
AMAZON,MODEL CAR,MONITORS & TV,252.51,318.09,116
AMAZON,MUSIC SOFTWARE,MISCELLANEOUS,287.78,381.85,10
AMAZON,NAILS,CLOTHING,258.19,350.31,116
AMAZON,NECKLACE,CLOTHING,17.69,26.48,28
AMAZON,PAN,CLOTHING,265.06,319,91
AMAZON,PAPER,SPORTS,143.39,171.75,115
AMAZON,PEN,SMART WATCH,43.4,53.51,72
AMAZON,PENCIL,MISCELLANEOUS,84.21,121.58,25
AMAZON,PENCIL SHARPENER,MISCELLANEOUS,10.27,11.43,20
AMAZON,PLASMA TV,CLOTHING,192.37,234.38,77
AMAZON,POTATO CHIPS,LAPTOP COMPUTERS,205.63,264.46,6
AMAZON,RC CAR,MISCELLANEOUS,85.98,117.35,6
AMAZON,RC HELICOPTER,ACCESSORIES,68.19,83.17,77
AMAZON,RC PLANE,MISCELLANEOUS,58.61,80.49,98
AMAZON,RULLER,SMART WATCH,58.68,67.22,67
AMAZON,SAW,MONITORS & TV,271.32,306.14,195
AMAZON,SCREWDRIVER,SMART WATCH,257.02,367.45,53
AMAZON,SCREWS,MONITORS & TV,176.45,193.09,185
AMAZON,SHAMPOO,CLOTHING,271.78,393.51,131
AMAZON,SHAVING CREAM,CLOTHING,298.24,355.2,120
AMAZON,SHIN GUARDS,SMART WATCH,37.48,47.77,79
AMAZON,SHOES,MONITORS & TV,60.61,80.23,187
AMAZON,SHORTS,SMART WATCH,199.78,244.85,60
AMAZON,SHOVEL,MONITORS & TV,112.9,165.65,180
AMAZON,SMARTPHONE,MONITORS & TV,156.46,179.48,58
AMAZON,SOAP BAR,LAPTOP COMPUTERS,99.13,118.4,157
AMAZON,SOCKS,CLOTHING,295.59,402.26,40
AMAZON,SPOON,SPORTS,170.64,213.88,25
AMAZON,SPORTS DRINK,ACCESSORIES,139.21,194.08,28
AMAZON,SPRAY PAINT,SPORTS,288.96,419.63,141
AMAZON,STAPLER,CLOTHING,22.14,27.78,71
AMAZON,STOPWATCH,SMART WATCH,36.01,45.9,157
AMAZON,STRAWS,ACCESSORIES,298.64,360.63,148
AMAZON,STUFFED BEAR,MONITORS & TV,214.41,264.73,157
AMAZON,SUNGLASSES,MONITORS & TV,292.55,365.51,51
AMAZON,TENNIS BALL,MONITORS & TV,110.93,139.21,100
AMAZON,THERMOS,SMART WATCH,91.41,109.16,142
AMAZON,TIE,ACCESSORIES,76.03,110.93,90
AMAZON,TIRE,LAPTOP COMPUTERS,262.22,277.78,104
AMAZON,TOOTHBRUSH,LAPTOP COMPUTERS,106.06,116.58,96
AMAZON,TOOTHPASTE,SPORTS,229.21,308.07,198
AMAZON,TOWEL,MONITORS & TV,8.48,10.59,141
AMAZON,TV REMOTE,MISCELLANEOUS,173.5,258.87,164
AMAZON,VIDEO GAME,MONITORS & TV,186.63,204.74,73
AMAZON,WALLET,CELL PHONE,284.26,315.88,98
AMAZON,WATCH,LAPTOP COMPUTERS,201.98,238.68,62
AMAZON,WATER BOTTLE,ACCESSORIES,233.69,277.62,15
AMAZON,WINTER COAT,LAPTOP COMPUTERS,288.57,367.82,174
AMAZON,WRENCH,MISCELLANEOUS,290.79,385.53,11
APPLE,ALBUM,MONITORS & TV,67.41,86.27,160
APPLE,BASEBALL CAP,LAPTOP COMPUTERS,71.02,87.31,112
APPLE,BASKETBALL,MISCELLANEOUS,257.19,275.34,196
APPLE,BATTERIES,CELL PHONE,84.51,120.71,117
APPLE,BATTERY PACK,CLOTHING,104.99,143.96,9
APPLE,BLANKET,MISCELLANEOUS,62.55,79.48,128
APPLE,BLENDER,MONITORS & TV,169.29,197.77,182
APPLE,BOOK,ACCESSORIES,139.96,170.36,166
APPLE,BOTTLE OF SODA,LAPTOP COMPUTERS,21.93,26.3,64
APPLE,BOWTIE,MISCELLANEOUS,83.73,101.59,34
APPLE,BOX,SMART WATCH,183.9,252.76,178
APPLE,BRACELET,SMART WATCH,141.24,199.44,55
APPLE,CALCULATOR,SPORTS,83.25,92.47,96
APPLE,CAR,LAPTOP COMPUTERS,117.34,165.64,112
APPLE,CLEATS,MONITORS & TV,78.46,114.53,114
APPLE,COFFEE MUG,SMART WATCH,208.78,309.37,159
APPLE,COLOGNE,MISCELLANEOUS,133.91,172.43,175
APPLE,COLORED PENCILS,CLOTHING,293.24,430.85,84
APPLE,COMB,CLOTHING,221.29,256.82,184
APPLE,CRACKERS,SPORTS,208.57,307.63,66
APPLE,DESK,SPORTS,58.46,62.05,146
APPLE,DRILL,CELL PHONE,87.03,110.24,113
APPLE,DRILL BITS,CELL PHONE,246.35,365.16,193
APPLE,ERASER,MONITORS & TV,285.35,406.29,55
APPLE,FISHING ROD,LAPTOP COMPUTERS,149.93,221.77,29
APPLE,FLATSCREEN TV,LAPTOP COMPUTERS,145.85,171.28,72
APPLE,FLIP PHONE,LAPTOP COMPUTERS,285.07,343.48,33
APPLE,FLUTE,CELL PHONE,132.18,146.42,197
